0:0.0073,1:0.0000,2:0.0306,3:0.0000,4:0.1624,5:0.3225,6:0.0000,7:0.1818,8:0.0573,9:0.0009,10:0.0000,11:0.2344,12:0.0000,13:0.0000,14:0.0000,15:0.0018,16:0.1826,17:0.0000,
0:0.5800,1:0.0000,2:0.0458,3:0.0000,4:0.0904,5:0.0657,6:0.0000,7:0.0736,8:0.0141,9:0.0000,10:0.0000,11:0.0415,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.4322,17:0.0000,
0:0.9317,1:0.0000,2:0.0542,3:0.0000,4:0.0523,5:0.0101,6:0.0000,7:0.0074,8:0.0008,9:0.0000,10:0.0000,11:0.0145,12:0.0000,13:0.0000,14:0.0000,15:0.0004,16:0.0410,17:0.0000,
0:0.9711,1:0.0000,2:0.0556,3:0.0000,4:0.0113,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0083,12:0.0000,13:0.0000,14:0.0000,15:0.0088,16:0.0023,17:0.0000,
0:0.9744,1:0.0053,2:0.0569,3:0.0000,4:0.0056,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0477,12:0.0000,13:0.0000,14:0.0000,15:0.0157,16:0.0006,17:0.0000,
0:0.9777,1:0.0053,2:0.0458,3:0.0000,4:0.0042,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0871,12:0.0000,13:0.0000,14:0.0000,15:0.0157,16:0.0001,17:0.0000,
0:0.9810,1:0.0784,2:0.0653,3:0.0000,4:0.0014,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0602,12:0.0000,13:0.0000,14:0.0000,15:0.0091,16:0.0001,17:0.0000,
0:0.9767,1:0.0922,2:0.0583,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0602,12:0.0000,13:0.0000,14:0.0000,15:0.0062,16:0.0002,17:0.0117,
0:0.9769,1:0.0604,2:0.0833,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0037,16:0.0000,17:0.0730,
0:0.9779,1:0.0148,2:0.0875,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0051,16:0.0000,17:0.1074,
0:0.9801,1:0.0508,2:0.0722,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0037,16:0.0000,17:0.0982,
0:0.9806,1:0.0286,2:0.0458,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0011,16:0.0000,17:0.1191,
0:0.9838,1:0.0064,2:0.0278,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0051,16:0.0000,17:0.1183,
